producer,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
epworth,0.519,0.407,-7.682,0,0.0384,0.844,0,0.101,0.515,139.954
epworth,0.56,0.956,-4.366,1,0.0776,0.00406,1.55e-6,0.358,0.821,143.993
epworth,0.451,0.632,-3.843,1,0.0475,0.6,0,0.139,0.455,147.06
epworth,0.609,0.79,-3.274,0,0.0374,0.195,2.16e-6,0.0533,0.457,96.069
epworth,0.633,0.548,-5.634,0,0.0467,0.269,0,0.16,0.35,160.011
epworth,0.498,0.21,-16.873,0,0.0346,0.885,0.912,0.135,0.0805,101.877
epworth,0.637,0.652,-5.237,0,0.0435,0.0664,0.177,0.0714,0.0725,115.923
epworth,0.728,0.701,-6.58,1,0.0406,0.0945,2.08e-5,0.181,0.413,137.97
epworth,0.751,0.84,-4.855,1,0.349,0.367,0,0.0916,0.801,99.057
epworth,0.528,0.962,-5.304,1,0.0514,0.0319,0.0485,0.48,0.092,131.976
epworth,0.395,0.843,-4.476,1,0.0374,0.00483,0,0.0404,0.481,112.423
epworth,0.182,0.803,-3.177,0,0.0384,0.0196,0.00323,0.107,0.646,159.767
epworth,0.731,0.557,-7.859,1,0.189,0.251,9.09e-6,0.168,0.0604,121.556
epworth,0.567,0.928,-3.955,1,0.0371,0.00737,0,0.343,0.573,100.593
epworth,0.724,0.45,-5.763,0,0.0497,0.0315,1.42e-5,0.111,0.464,140.978
epworth,0.367,0.684,-6.341,0,0.0899,0.104,5.59e-6,0.189,0.264,140.118
epworth,0.611,0.704,-10.872,1,0.0306,0.0468,7.74e-5,0.0936,0.93,126.762
epworth,0.515,0.593,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467
epworth,0.451,0.101,-21.423,1,0.0371,0.868,0.911,0.108,0.189,110.137
epworth,0.69,0.65,-12.098,1,0.0288,0.0866,3.52e-6,0.261,0.772,91.213
epworth,0.498,0.695,-6.891,1,0.157,0.868,4.03e-6,0.127,0.707,81.186
epworth,0.804,0.717,-7.04,1,0.279,0.0437,7.33e-6,0.192,0.489,140.089
epworth,0.586,0.682,-4.659,0,0.27,0.134,0,0.117,0.105,120.455
epworth,0.655,0.607,-8.064,0,0.0433,0.695,6.26e-4,0.12,0.547,155.974
epworth,0.585,0.578,-7.551,1,0.0477,0.515,2.39e-6,0.145,0.579,172.031
epworth,0.55,0.689,-8.65,1,0.0422,0.0565,1.23e-5,0.0739,0.294,100.054
epworth,0.418,0.461,-10.318,0,0.0356,0.269,0.0148,0.0924,0.0526,99.97
epworth,0.926,0.542,-5.064,1,0.293,0.135,0,0.0877,0.564,135.14
epworth,0.824,0.764,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998
epworth,0.452,0.762,-7.569,1,0.0449,0.00504,0.0528,0.179,0.323,191.978
epworth,0.465,0.256,-14.42,1,0.0321,0.733,0.637,0.2,0.0748,132.059
epworth,0.547,0.164,-16.485,1,0.0398,0.834,0.0245,0.0659,0.0386,77.675
epworth,0.784,0.433,-9.1,1,0.0376,0.299,1.6e-4,0.0248,0.917,113.491
epworth,0.669,0.554,-9.86,1,0.0365,0.336,0.00763,0.0874,0.466,139.99
epworth,0.361,0.497,-5.466,1,0.0336,0.379,0,0.111,0.302,159.8
epworth,0.383,0.595,-9.363,1,0.079,0.104,0.832,0.0703,0.2,160.184
epworth,0.605,0.786,-4.138,1,0.0379,0.00276,0,0.347,0.512,116.995
epworth,0.487,0.65,-5.195,1,0.0253,0.191,0,0.0933,0.456,151.964
epworth,0.619,0.507,-7.677,1,0.0335,0.71,0,0.258,0.694,77.995
epworth,0.679,0.587,-7.015,1,0.276,0.141,6.35e-6,0.137,0.486,186.003
epworth,0.652,0.687,-5.955,1,0.136,0.351,4.97e-4,0.164,0.294,145.002
epworth,0.42,0.0806,-15.948,1,0.0453,0.928,8.84e-5,0.105,0.431,178.438
epworth,0.76,0.0804,-19.268,1,0.0845,0.941,0.93,0.11,0.265,83.005
epworth,0.628,0.934,-6.026,1,0.0527,0.00682,1.11e-5,0.0852,0.491,126.538
epworth,0.759,0.73,-7.985,0,0.0516,0.145,3.06e-6,0.11,0.74,115.007
epworth,0.302,0.73,-5.762,1,0.0401,0.00229,0.0231,0.114,0.0941,136.373
epworth,0.253,0.352,-11.509,1,0.0357,0.883,0.00191,0.0668,0.099,141.97
epworth,0.845,0.583,-5.948,0,0.0773,0.114,5.36e-4,0.1,0.842,149.941
epworth,0.705,0.487,-9.456,0,0.0587,0.0837,0.028,0.303,0.34,88.616
epworth,0.903,0.529,-9.901,1,0.0623,0.105,0.00255,0.138,0.353,100.977
epworth,0.851,0.663,-7.168,1,0.0532,0.0167,0.363,0.103,0.605,108.004
epworth,0.394,0.278,-13.28,0,0.033,0.598,0.169,0.0689,0.121,106.989
epworth,0.761,0.525,-6.9,1,0.0944,0.44,6.7e-6,0.0921,0.531,80.87
epworth,0.355,0.514,-11.497,1,0.0788,0.00818,0.00382,0.119,0.594,93.966
